platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B0CJYKDCBT,"Elmaayergy BH-2 Children's Stamp With Durable Material, Suitable For School And Home",,Toys & Games,EGP 7.34,,,2.4,,,,,https://m.media-amazon.com/images/I/613eyQZe9eL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CJYKDCBT,2026-03-28T13:02:09.684992
amazon,B078W42FZ7,Turkish Bedspread (Havana),,Toys & Games,EGP 8.15,,,3.7,,,,,https://m.media-amazon.com/images/I/61CI3RAoHaL._AC_UL320_.jpg,https://www.amazon.eg/dp/B078W42FZ7,2026-03-28T13:02:09.685629
amazon,B0CCLFV6H3,Flash Cards Assorted Shapes & Colors,,Toys & Games,EGP 8.77,,,3.0,,,,,https://m.media-amazon.com/images/I/51S6OGQryoL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CCLFV6H3,2026-03-28T13:02:09.686166
amazon,B0C2D9Q2HT,Template Brushes,,Toys & Games,EGP 8.77,,,,,,,,https://m.media-amazon.com/images/I/61ugWbKHuQL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0C2D9Q2HT,2026-03-28T13:02:09.686692
amazon,B0FJFVZD41,"SONIX C6-6OPP Watercolor Palette 6-Color Stone + Brush, Single Piece",,Toys & Games,EGP 9.00,,,3.7,,,,,https://m.media-amazon.com/images/I/61QQoNJg5hL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FJFVZD41,2026-03-28T13:02:09.687211
amazon,B0FD8R1MY9,Keyroad Eraser small double-sided for pencil & ink model KR971645,,Toys & Games,EGP 9.00,,,3.0,,,,,https://m.media-amazon.com/images/I/51rpGQ3kuML._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FD8R1MY9,2026-03-28T13:02:09.687774
amazon,B0D4K81CXZ,"Elmaayergy Eraser Pen Refill Suitable For classroom, Homeschooling, And Individual Study Environments",,Toys & Games,EGP 9.82,,,4.0,,,,,https://m.media-amazon.com/images/I/410cmhjNdWL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D4K81CXZ,2026-03-28T13:02:09.688290
amazon,B07Y7MMTB4,Fortnite Panini Sticker Pack - 5 Stickers,,Toys & Games,,,,4.4,,,,,https://m.media-amazon.com/images/I/81yXVw2wAML._AC_UL320_.jpg,https://www.amazon.eg/dp/B07Y7MMTB4,2026-03-28T13:02:09.689022
amazon,B07D9PBR32,L.O.L. Surprise! 5x Panini Sticker Pack (5 sealed packs),,Toys & Games,EGP 10.00,,,2.0,,,,,https://m.media-amazon.com/images/I/71gBWx6-lUL._AC_UL320_.jpg,https://www.amazon.eg/dp/B07D9PBR32,2026-03-28T13:02:09.689552
amazon,B0GSRRT996,"Easter Card for Kids, Cross and Resurrection Story Picture Card Christian Religious Educational Toys",,Toys & Games,EGP 10.00,,,,,,,,https://m.media-amazon.com/images/I/412ukHz3cnL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0GSRRT996,2026-03-28T13:02:09.689995
amazon,B08WJN5RDB,Textile Deco Accessories - 561,,Toys & Games,EGP 10.17,,,2.0,,,,,https://m.media-amazon.com/images/I/71lZs5+qTRL._AC_UL320_.jpg,https://www.amazon.eg/dp/B08WJN5RDB,2026-03-28T13:02:09.690581
amazon,B092LLQQPK,"Deli scribe eraser h00610, black",,Toys & Games,EGP 10.49,,,2.8,,,,,https://m.media-amazon.com/images/I/61OlhsF-XQL._AC_UL320_.jpg,https://www.amazon.eg/dp/B092LLQQPK,2026-03-28T13:02:09.691102
amazon,B0DPDV64B4,Keyroad Eraser large black model KR972953,,Toys & Games,EGP 11.00,,,4.1,,,,,https://m.media-amazon.com/images/I/51G7FWHgn8L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DPDV64B4,2026-03-28T13:02:09.691639
amazon,B0FG2ZJ6HM,"M&G White Eraser, Compact Smudge-Free Precise Corrections",,Toys & Games,EGP 11.00,,,5.0,,,,,https://m.media-amazon.com/images/I/515L3HjOT6L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FG2ZJ6HM,2026-03-28T13:02:09.692157
amazon,B0719634HZ,EH02200#Eraser #50 * 20 * 11mm #ASST.,,Toys & Games,EGP 11.20,,,3.5,,,,,https://m.media-amazon.com/images/I/61jt8bKwozL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0719634HZ,2026-03-28T13:02:09.692705
amazon,B087PW5486,Faber-Castell Faber Castell 181640 Ink Eraser - Blue,,Toys & Games,EGP 11.49,,,3.6,,,,,https://m.media-amazon.com/images/I/51-NA4-Wf+L._AC_UL320_.jpg,https://www.amazon.eg/dp/B087PW5486,2026-03-28T13:02:09.693236
amazon,B0FMQ5FLYZ,Keyroad Eraser Goldfish with handle multicolor model KR973125,,Toys & Games,EGP 11.50,,,3.5,,,,,https://m.media-amazon.com/images/I/518XlASw7RL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FMQ5FLYZ,2026-03-28T13:02:09.693776
amazon,B0FT3ZVS88,Stars Stickers Set A206 BSD-66-209-A210-A211-A207 Decorative Adhesive Labels for School Projects Kids Crafts and Creative Artwork Multicolor,,Toys & Games,EGP 11.90,,,5.0,,,,,https://m.media-amazon.com/images/I/710tveCbydL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FT3ZVS88,2026-03-28T13:02:09.694342
amazon,B091CFWP5Q,1pcs wall mounted broom holder kitchen bathroom wall mop holder magic sticker max loading 5kg broom mop rack,,Toys & Games,EGP 12.00,,,2.4,,,,,https://m.media-amazon.com/images/I/51HB1WZadqL._AC_UL320_.jpg,https://www.amazon.eg/dp/B091CFWP5Q,2026-03-28T13:02:09.694918
